iter	Passed	Remaining
0	1	129
1	2	114
2	3	110
3	4	106
4	5	103
5	6	99
6	7	97
7	8	95
8	9	93
9	10	91
10	11	89
11	12	88
12	12	86
13	13	85
14	14	83
15	15	82
16	16	80
17	17	79
18	18	78
19	19	77
20	20	76
21	21	74
22	22	73
23	22	72
24	23	71
25	24	70
26	25	69
27	26	68
28	27	67
29	28	66
30	29	65
31	30	64
32	31	63
33	31	62
34	32	61
35	33	60
36	34	58
37	35	57
38	40	62
39	41	61
40	41	60
41	42	58
42	43	57
43	44	56
44	44	54
45	45	53
46	46	52
47	47	51
48	48	50
49	49	49
50	50	48
51	51	47
52	52	46
53	52	45
54	53	43
55	54	42
56	55	41
57	56	40
58	57	39
59	57	38
60	58	37
61	59	36
62	60	35
63	61	34
64	62	33
65	63	32
66	64	31
67	65	30
68	66	29
69	67	28
70	68	27
71	69	26
72	82	30
73	83	29
74	85	28
75	87	27
76	88	26
77	90	25
78	92	24
79	94	23
80	95	22
81	97	21
82	100	20
83	102	19
84	103	18
85	105	17
86	107	16
87	109	14
88	111	13
89	112	12
90	115	11
91	116	10
92	118	8
93	120	7
94	121	6
95	124	5
96	129	4
97	131	2
98	132	1
99	133	0
